ARTIST,NAME,WEBSITE_NAME,NUM_MEMBERS
1TYM,Hip Hop Village,http://cafe.daum.net/ng1tym,9069
2AM,I AM,http://cafe.daum.net/2-oclock,37948
2NE1,Blackjack,http://cafe.daum.net/2NE1,63164
2PM,Hottest,http://cafe.daum.net/2PM,123192
4MINUTE,4NIA,http://cafe.daum.net/4minute,34244
A-JAX,A-Light,http://cafe.daum.net/a-jax,9151
Apink,Pink Panda,http://cafe.daum.net/apink,152140
AA,W,http://cafe.daum.net/2011AA,14349
After School,Playgirlz/Boyz,http://cafe.daum.net/PlaygirlzAS,17608
Ailee,Alien,http://cafe.daum.net/aileeonline,9821
AOA,AOE,http://cafe.daum.net/aceofangels,45187
B1A4,Bana,http://cafe.daum.net/-b1a4,153540
B.A.P,Baby,http://cafe.daum.net/TS-ASIAN,99679
BEAST,B2UTY,http://cafe.daum.net/playb2st,262675
Big Bang,V.I.P,http://cafe.daum.net/YGBIGBANG,260583
Block B,BBC,http://cafe.daum.net/BB-Club,140850
BoA,Jumping BoA,http://cafe.daum.net/boa54,244279
Boyfriend,Best Friend,http://cafe.daum.net/BOYFRIEND,27716
Boys Republic,Royal Family,http://cafe.daum.net/BoysRepublic,13505
Brown Eyed Girls,Everlasting,http://cafe.daum.net/Browneyedgirls,34195
Brown Eyed Soul,N/A,http://cafe.daum.net/BrowneyedSoul,30358
BTOB,Melody,http://cafe.daum.net/cube-btob,120341
BTS,A.R.M.Y,http://cafe.daum.net/BANGTAN,284946
BUSKER BUSKER,N/A,http://cafe.daum.net/BUSKERBUSKER,3069
CNBLUE,Boice,http://cafe.daum.net/cnblue4,3226
CrayonPop,N/A,http://cafe.daum.net/lovecrayonpop,12318
Davichi,Girls High,http://cafe.daum.net/kraw,6974
DMTN,Dalmate,http://cafe.daum.net/dalmatianmf,6941
Dal Shabet,Darling,http://cafe.daum.net/dalshabet,8996
EpikHigh,High Skool,http://cafe.daum.net/EpikHigh,39510
EXID,L.E.G.O,http://cafe.daum.net/exid,36965
EXO,EXO-L,N/A,0
Fiestar,Lets,http://cafe.daum.net/FIESTAR,7351
FT Island,Primadonna,http://cafe.daum.net/fti5,73643
F(x),MeU,http://cafe.daum.net/91382073,56840
Girls Day,DAI5Y,http://cafe.daum.net/Girlsday5,76994
Girls Generation,Sone,http://cafe.daum.net/milkye,220666
G.NA,G.NI,http://cafe.daum.net/G-NA,9935
GOT7,I GOT7,http://cafe.daum.net/GOT7Official,43220
Infinite,Inspirit,http://cafe.daum.net/infinite7,201929
IU,Uaena,http://cafe.daum.net/IU,189433
Ivy,Ivynus,http://cafe.daum.net/ivynus1107,986
Jewelry,Jewel Box,http://cafe.daum.net/eJewelry,3772
Jay Park,Jaywalkerz,http://cafe.daum.net/Jay-Effect,18644
Kwill,N/A,http://cafe.daum.net/Hyungknight,17947
Lee Hi,HiHeel,http://cafe.daum.net/leehistarzone,345
Lee Hyori,HyoRish,http://cafe.daum.net/hyolee79,32785
Mamamoo,MooMoo,http://cafe.daum.net/mamamoo/,67276
Miss A,Say A,http://cafe.daum.net/missA,29533
PSY,PSYcho,http://cafe.daum.net/psylove1,7212
Red Velvet,N/A,http://cafe.daum.net/SM004,19111
SECRET,SECRETTIME,http://cafe.daum.net/SECRETTIME,28454
SHINEE,Shawol,http://cafe.daum.net/TVNDRM,86470
Shinhwa,SHCJ,http://cafe.daum.net/shcj-official,18742
Sistar,Star1,http://cafe.daum.net/SISTAR4,28269
SS501,Triple S,http://cafe.daum.net/theseus1,13195
Super Junior,Elfs,http://cafe.daum.net/secondemugame,146175
T-ARA,Queen's,http://cafe.daum.net/fant-ara,24657
TEEN TOP,Angel,http://cafe.daum.net/TEENTOP,85710
TVXQ,Cassiopeia,http://cafe.daum.net/soul48,543315
VIXX,Starlight,http://cafe.daum.net/RealVIXX,127494
Winner,Inner Circle,http://cafe.daum.net/YGWINNER,31146
Wonder Girls,Wonderful,http://cafe.daum.net/wg070210,73164
